power,current,time
0.27800,53.50000,5
0.27800,53.50000,10
0.27800,53.50000,15
0.27800,53.50000,20
0.27800,53.50000,25
0.27800,53.50000,29
0.27800,53.50000,35
0.27800,53.50000,40
0.27800,53.50000,45
0.27800,53.50000,50
0.27800,53.50000,55
0.27800,53.50000,60
0.27800,53.50000,64
0.27600,53.10000,69
0.27600,53.10000,75
0.27600,53.10000,80
0.27600,53.10000,85
0.27600,53.10000,90
0.27600,53.10000,95
0.27600,53.10000,99
0.27600,53.10000,104
0.27600,53.10000,109
0.27600,53.10000,114
0.27600,53.10000,120
0.27600,53.10000,125
0.27600,53.10000,130
0.27600,52.60000,135
0.27600,52.60000,140
0.27600,52.60000,144
0.27600,52.60000,149
0.27600,52.60000,154
0.27600,52.60000,160
0.27600,52.60000,165
0.27600,52.60000,170
0.27600,52.60000,175
0.27600,52.60000,180
0.27600,52.60000,185
0.27600,52.60000,189
0.27600,52.60000,194
0.27600,62.40000,199
0.32400,62.40000,205
0.32400,62.40000,210
0.32400,62.40000,215
0.32400,62.40000,220
0.32400,62.40000,225
0.32400,62.40000,230
0.32400,62.40000,234
0.32400,62.40000,239
0.32400,62.40000,244
0.32400,62.40000,250
0.32400,62.40000,255
0.32400,62.40000,260
0.32400,52.70000,265
0.27600,52.70000,270
0.27600,52.70000,275
0.27600,52.70000,280
0.27600,52.70000,284
0.27600,52.70000,290
0.27600,52.70000,295
0.27600,52.70000,300
0.27600,52.70000,305
0.27600,52.70000,310
0.27600,52.70000,315
0.27600,52.70000,320
0.27600,52.70000,325
0.27600,52.60000,329
0.27200,52.60000,335
0.27200,52.60000,340
0.27200,52.60000,345
0.27200,52.60000,350
0.27200,52.60000,355
0.27200,52.60000,360
0.27200,52.60000,365
0.27200,52.60000,370
0.27200,52.60000,376
0.27200,52.60000,380
0.27200,52.60000,385
0.27200,52.60000,390
0.27200,52.60000,395
0.35400,68.20000,400
0.35400,68.20000,405
0.35400,68.20000,410
0.35400,68.20000,416
0.35400,68.20000,421
0.35400,68.20000,426
0.35400,68.20000,430
0.35400,68.20000,435
0.35400,68.20000,440
0.35400,68.20000,445
0.35400,68.20000,450
0.35400,68.20000,455
0.35400,68.20000,461
0.39400,75.80001,466
0.39400,75.80001,471
0.39400,75.80001,476
0.39400,75.80001,480
0.39400,75.80001,485
0.39400,75.80001,490
0.39400,75.80001,495
0.39400,75.80001,500
0.39400,75.80001,506
0.39400,75.80001,511
0.39400,75.80001,516
0.39400,75.80001,521
0.39400,75.80001,526
0.39400,75.70000,530
0.39400,75.70000,535
0.39400,75.70000,540
0.39400,75.70000,546
0.39400,75.70000,551
0.39400,75.70000,556
0.39400,75.70000,561
0.39400,75.70000,566
0.39400,75.70000,571
0.39400,75.70000,575
0.39400,75.70000,580
0.39400,75.70000,585
0.39400,75.70000,591
0.39400,75.70000,596
0.39400,75.70000,601
0.39400,75.70000,606
0.39400,75.70000,611
0.39400,75.70000,616
0.39400,75.70000,621
0.39400,75.70000,625
0.39400,75.70000,631
0.39400,75.70000,636
0.39400,75.70000,641
0.39400,75.70000,646
0.39400,75.70000,651
0.39400,75.70000,656
0.39400,75.60000,661
0.39400,75.60000,666
0.39400,75.60000,670
0.39400,75.60000,676
