,power,current,time
222,0.436,83.70000999999999,1118
223,0.436,71.80001,1123
224,0.374,71.80001,1128
225,0.374,71.80001,1134
226,0.374,71.80001,1138
227,0.374,71.80001,1143
228,0.374,71.80001,1148
229,0.374,71.80001,1153
230,0.374,71.80001,1158
231,0.374,71.80001,1163
232,0.374,71.80001,1168
233,0.374,71.80001,1174
234,0.374,71.80001,1179
235,0.374,71.80001,1184
236,0.374,78.1,1189
237,0.406,78.1,1194
238,0.406,78.1,1199
239,0.406,78.1,1204
240,0.406,78.1,1209
241,0.406,78.1,1214
242,0.406,78.1,1220
243,0.406,78.1,1225
244,0.406,78.1,1230
245,0.406,78.1,1235
246,0.406,78.1,1240
247,0.406,78.1,1245
248,0.406,78.1,1249
249,0.406,78.1,1254
250,0.404,77.6,1260
251,0.404,77.6,1265
252,0.404,77.6,1270
253,0.404,77.6,1275
254,0.404,77.6,1280
255,0.404,77.6,1285
256,0.404,77.6,1290
257,0.404,77.6,1295
258,0.404,77.6,1301
259,0.404,77.6,1306
260,0.404,77.6,1311
261,0.404,77.6,1316
262,0.404,77.6,1321
263,0.432,83.4,1326
264,0.432,83.4,1331
265,0.432,83.4,1336
266,0.432,83.4,1341
267,0.432,83.4,1346
268,0.432,83.4,1351
269,0.432,83.4,1356
270,0.432,83.4,1361
271,0.432,83.4,1366
272,0.432,83.4,1371
273,0.432,83.4,1376
274,0.432,83.4,1381
275,0.432,83.4,1387
276,0.524,101.2,1392
277,0.524,101.2,1397
278,0.524,101.2,1402
279,0.524,101.2,1407
280,0.524,101.2,1412
281,0.524,101.2,1417
282,0.524,101.2,1422
283,0.524,101.2,1427
284,0.524,101.2,1433
285,0.524,101.2,1438
286,0.524,101.2,1443
287,0.524,101.2,1448
288,0.524,103.09999,1453
289,0.534,103.09999,1458
290,0.534,103.09999,1463
291,0.534,103.09999,1468
292,0.534,103.09999,1474
293,0.534,103.09999,1479
294,0.534,103.09999,1484
295,0.534,103.09999,1489
296,0.534,103.09999,1494
297,0.534,103.09999,1499
298,0.534,103.09999,1504
299,0.534,103.09999,1509
300,0.534,103.09999,1515
301,0.534,103.2,1520
302,0.534,103.2,1525
303,0.534,103.2,1530
304,0.534,103.2,1535
305,0.534,103.2,1540
306,0.534,103.2,1545
307,0.534,103.2,1550
308,0.534,103.2,1555
309,0.534,103.2,1561
310,0.534,103.2,1566
311,0.534,103.2,1571
312,0.534,103.2,1576
313,0.534,103.2,1581
314,0.534,103.2,1586
315,0.534,103.2,1591
316,0.534,103.2,1596
317,0.534,103.2,1602
318,0.534,103.2,1607
319,0.534,103.2,1612
320,0.534,103.2,1617
321,0.534,103.2,1622
322,0.534,103.2,1627
323,0.534,103.2,1632
324,0.534,103.2,1637
325,0.534,103.2,1643
326,0.534,103.2,1648
327,0.534,95.8,1653
328,0.498,95.8,1658
329,0.498,95.8,1663
330,0.498,95.8,1668
331,0.498,95.8,1673
332,0.498,95.8,1678
333,0.498,95.8,1682
334,0.498,95.8,1688
335,0.498,95.8,1693
336,0.498,95.8,1698
337,0.498,95.8,1703
338,0.498,95.8,1708
339,0.498,95.8,1713
340,0.498,92.5,1718
341,0.478,92.5,1723
342,0.478,92.5,1729
343,0.478,92.5,1734
344,0.478,92.5,1739
345,0.478,92.5,1744
346,0.478,92.5,1749
347,0.478,92.5,1754
348,0.478,92.5,1759
349,0.478,92.5,1764
350,0.478,92.5,1770
351,0.478,92.5,1775
352,0.478,92.5,1779
353,0.478,77.2,1784
354,0.4,77.2,1789
355,0.4,77.2,1794
356,0.4,77.2,1799
357,0.4,77.2,1804
