power,time
0.30800,63.09999,1316
0.51200,100.20000,1321
0.51400,100.80001,1326
0.51400,100.50000,1331
0.50800,99.40000,1337
0.51400,101.30001,1342
0.51800,99.60000,1347
0.50800,99.90000,1352
0.51200,108.80000,1357
0.55400,104.70000,1362
0.53400,105.70000,1367
0.54400,106.30000,1372
0.53800,105.10000,1378
0.52800,103.90000,1383
0.52800,103.70000,1388
0.53000,104.80001,1393
0.53400,106.10000,1398
0.54400,106.00000,1403
0.54000,104.90000,1408
0.53400,103.90000,1413
0.52800,104.00000,1418
0.53000,104.10000,1423
0.53800,104.90000,1428
0.54400,106.50000,1433
0.54000,105.50000,1438
0.53400,104.00000,1443
0.53000,103.80000,1448
0.52800,103.90000,1453
0.53000,105.30000,1458
0.53800,106.30000,1464
0.54400,105.60000,1469
0.53000,104.30001,1474
0.53000,104.00000,1479
0.52800,103.90000,1484
0.53000,103.80000,1489
0.54000,106.50000,1494
0.54400,105.40000,1499
0.53800,104.50000,1504
0.53400,103.80000,1510
0.52800,103.90000,1515
0.52800,104.00000,1520
0.53000,105.70000,1525
0.55000,107.30000,1530
0.54000,105.60000,1535
0.53000,104.10000,1540
0.52800,104.00000,1545
0.53000,104.10000,1551
0.53000,105.80000,1556
0.54000,106.20000,1561
0.54400,105.10000,1566
0.53800,104.10000,1571
0.53000,103.80000,1576
0.52800,103.80000,1581
0.53400,104.30001,1586
0.54000,105.60000,1592
0.54400,104.90000,1597
0.53400,91.60000,1602
0.46800,97.60000,1607
0.49800,100.90000,1612
0.51400,92.80000,1617
0.47600,92.09999,1622
0.47200,96.30000,1627
0.47800,93.40000,1632
0.47800,93.50000,1638
0.47200,92.00000,1643
0.49200,96.00000,1648
0.47600,93.20000,1652
0.47800,98.10000,1657
0.50200,92.40000,1662
0.47200,92.90000,1667
0.47600,92.60000,1672
0.47600,93.80001,1678
0.47800,92.00000,1683
0.47800,93.60000,1688
0.47200,92.00000,1693
0.47200,92.40000,1698
0.47200,92.00000,1703
0.47200,95.40000,1708
0.48800,100.70000,1713
0.51400,92.40000,1718
0.47200,95.90000,1724
0.48800,96.90000,1729
0.49400,91.40000,1734
0.46800,71.80001,1739
0.37000,71.90000,1744
0.37000,71.90000,1749
0.37000,71.90000,1754
0.37000,71.90000,1758
0.37000,71.90000,1764
0.37000,71.70000,1769
0.36800,72.00000,1774
0.37000,71.90000,1779
0.37000,71.80001,1784
0.37000,71.90000,1789
0.37000,72.00000,1794
0.37000,71.90000,1799
0.37000,71.80001,1805
0.37000,71.90000,1810
0.37000,71.90000,1815
0.37000,71.80001,1820
0.37000,71.90000,1825
0.37000,72.00000,1830
0.37000,71.80001,1835
0.37000,71.90000,1840
0.37000,71.90000,1845
0.37000,71.80001,1850
0.37000,71.80001,1855
0.37000,72.00000,1860
0.37000,71.90000,1865
0.36800,71.70000,1870
0.37000,72.00000,1875
0.37000,71.90000,1880
0.37000,71.70000,1885
0.36800,72.00000,1891
0.37000,71.90000,1896
0.37000,71.90000,1901
0.37000,71.80001,1906
0.37000,71.90000,1911
0.37000,71.90000,1916
0.36800,71.70000,1921
0.37000,71.90000,1926
0.37000,71.90000,1931
0.37000,71.70000,1937
0.36800,72.00000,1942
0.37000,71.90000,1946
0.37000,71.80001,1951
0.37000,71.80001,1956
0.37000,71.90000,1961
0.37000,71.90000,1966
0.37000,71.80001,1971
0.37000,72.00000,1977
0.37000,71.90000,1982
0.37000,71.80001,1987
0.37000,72.00000,1992
0.37000,71.90000,1997
0.37000,71.70000,2002
0.37000,71.90000,2007
0.37000,72.00000,2012
0.37000,71.80001,2018
0.37000,71.70000,2023
0.37000,72.00000,2028
0.37000,71.90000,2033
0.36800,71.70000,2038
0.37000,72.00000,2042
0.37000,71.80001,2047
0.37000,71.80001,2052
0.37000,72.00000,2057
0.37000,71.90000,2063
0.37000,71.80001,2068
0.37000,71.80001,2073
0.37000,72.00000,2078
0.37000,71.90000,2083
0.36800,71.70000,2088
0.37000,72.00000,2093
0.37000,71.80001,2098
0.37000,71.80001,2104
0.37000,72.00000,2109
0.37000,71.90000,2114
0.37000,71.80001,2119
0.37000,71.90000,2124
0.37000,71.90000,2129
0.37000,71.90000,2134
0.37000,71.80001,2139
0.37000,71.90000,2143
0.37000,71.90000,2149
0.37000,71.80001,2154
0.37000,72.00000,2159
0.37000,71.90000,2164
0.37000,71.70000,2169
0.36800,72.00000,2174
0.37000,72.00000,2179
0.37000,71.80001,2184
0.37000,71.80001,2190
0.37000,72.10000,2195
0.37000,72.00000,2200
0.37000,71.90000,2205
0.37000,72.00000,2210
0.37000,71.90000,2215
0.37000,71.80001,2220
0.37000,72.00000,2225
0.37000,72.00000,2230
0.37000,71.90000,2236
0.37000,71.90000,2240
0.37000,72.00000,2245
0.37000,71.90000,2250
0.37000,71.80001,2255
0.37000,72.00000,2260
0.37000,71.80001,2265
0.37000,71.80001,2270
0.37000,72.00000,2276
0.37000,71.90000,2281
0.37000,71.90000,2286
0.37000,71.90000,2291
0.37000,72.00000,2296
0.37000,72.00000,2301
0.36800,71.80001,2306
0.37000,72.00000,2311
0.37000,71.80001,2317
0.36800,71.80001,2322
0.37000,72.00000,2327
0.37000,72.00000,2332
0.37000,71.80001,2336
0.37000,72.00000,2341
0.37000,72.00000,2346
0.37000,71.90000,2351
0.37000,71.80001,2356
0.37000,72.00000,2362
0.37000,72.00000,2367
0.37000,72.00000,2372
0.37000,72.00000,2377
0.37000,71.90000,2382
0.37000,71.80001,2387
0.36800,72.00000,2392
0.37000,72.00000,2397
0.37000,71.90000,2403
0.37000,71.90000,2408
0.37000,72.10000,2413
0.37000,71.90000,2418
0.37000,71.80001,2423
0.37000,71.90000,2427
0.37000,72.00000,2432
0.37000,71.80001,2437
0.36800,72.00000,2442
0.37000,72.00000,2448
0.37000,71.90000,2453
0.37000,71.90000,2458
0.37000,72.00000,2463
0.37000,72.00000,2468
0.37000,71.80001,2473
0.37000,72.10000,2478
0.37000,71.90000,2483
0.37000,71.80001,2489
0.37000,72.00000,2494
0.37000,71.90000,2499
0.37000,71.80001,2504
0.37000,72.00000,2509
0.37000,72.00000,2514
0.37000,71.80001,2518
0.37000,71.80001,2523
0.37000,72.00000,2528
0.37000,72.00000,2534
0.36800,71.90000,2539
0.37000,72.10000,2544
0.37000,71.80001,2549
0.36800,71.80001,2554
0.37000,72.00000,2559
0.37000,72.00000,2564
0.37000,71.80001,2569
0.37000,72.00000,2575
0.37000,71.90000,2580
0.37000,71.90000,2585
0.36800,71.70000,2590
0.37000,72.00000,2595
0.37000,71.80001,2600
0.37000,71.90000,2605
0.37000,72.10000,2610
0.37000,71.90000,2614
0.37000,71.70000,2620
0.36800,72.00000,2625
0.37000,71.90000,2630
0.37000,71.90000,2635
0.36800,71.70000,2640
0.37000,72.10000,2645
0.37000,71.90000,2650
0.37000,71.90000,2655
0.37000,71.90000,2661
0.37000,71.90000,2666
0.37000,71.70000,2671
0.36800,72.00000,2676
0.37000,72.00000,2681
0.37000,71.80001,2686
0.37000,71.80001,2691
0.37000,72.00000,2696
0.37000,71.90000,2702
0.37000,71.90000,2707
0.37000,72.00000,2711
0.37000,71.80001,2716
0.37000,71.80001,2721
0.37000,72.00000,2726
0.37000,71.90000,2731
0.37000,81.90000,2736
0.51400,100.60000,2741
0.51200,99.90000,2747
0.47200,92.09999,2752
0.50400,99.10000,2757
0.49400,92.90000,2762
0.47600,100.00000,2767
0.51200,100.90000,2772
0.51400,100.80001,2777
0.51400,100.50000,2782
0.51400,96.40000,2788
0.49400,92.40000,2793
0.47600,92.60000,2798
0.47200,92.20000,2803
0.47200,92.50000,2808
0.47200,92.40000,2813
0.47200,92.30000,2818
0.47200,92.50000,2823
0.47200,92.50000,2827
0.47200,92.09999,2833
0.47200,92.40000,2838
0.47200,92.20000,2843
0.47200,92.60000,2848
0.47200,92.09999,2853
0.48200,94.50000,2858
0.54800,107.50000,2863
0.71200,186.29998,2868
0.93400,186.69999,2874
0.93400,164.69999,2879
0.83000,164.80000,2884
0.83000,164.69999,2889
0.83000,166.79998,2894
0.83800,166.59999,2899
0.83800,166.39999,2904
0.83800,166.30000,2909
0.83800,166.79998,2915
0.83800,166.59999,2920
0.83800,166.59999,2925
0.83800,166.69999,2930
0.83800,166.59999,2935
0.83800,166.69999,2940
0.83800,166.69999,2945
0.84200,167.00000,2950
0.83800,166.59999,2955
0.84200,167.00000,2961
0.83800,166.59999,2966
0.83800,166.79998,2971
0.83800,166.89999,2976
0.84200,166.79998,2981
0.84200,167.00000,2986
0.84200,166.79998,2991
0.84200,166.79998,2996
0.83800,166.50000,3002
0.83800,166.59999,3007
0.83800,166.59999,3012
0.83800,166.59999,3017
0.83800,166.79998,3022
0.84200,167.00000,3027
0.84200,166.69999,3032
0.83800,166.59999,3037
0.83800,166.59999,3043
0.83800,166.39999,3048
0.83800,166.00000,3053
0.83800,166.39999,3058
0.83800,166.30000,3063
0.83800,166.50000,3068
0.83800,166.50000,3073
0.83800,166.69999,3078
0.83800,165.89999,3083
0.83600,165.89999,3089
0.83600,166.19999,3094
0.83800,166.09999,3099
0.83800,166.09999,3104
0.83800,166.19999,3109
0.84200,167.19999,3114
0.84200,167.19999,3119
0.83200,165.89999,3124
0.83600,166.00000,3130
0.83800,166.09999,3135
0.83600,166.00000,3140
0.83800,166.19999,3145
0.83800,166.39999,3150
0.84200,166.79998,3155
0.84600,167.49998,3160
0.84600,167.49998,3165
0.83600,165.50000,3171
0.84600,165.79998,3176
0.83600,165.60000,3181
0.83600,173.69999,3186
0.87400,167.59999,3191
0.84600,166.69999,3196
0.84200,165.79998,3201
0.84600,168.19999,3206
0.84600,167.69999,3211
0.83800,165.79998,3217
0.80200,156.69999,3222
0.79200,157.29998,3227
0.79600,156.09999,3232
0.79000,167.79998,3237
0.84600,168.00000,3242
0.84800,168.00000,3247
0.84800,168.10000,3252
0.84800,168.19999,3258
0.84600,167.89999,3263
0.84800,168.00000,3268
0.84800,163.69999,3273
0.82600,163.50000,3278
0.82200,165.60000,3283
0.83600,168.49998,3288
0.84800,169.59999,3293
0.85600,169.89999,3299
0.85800,169.39999,3304
0.85600,169.59999,3309
0.85600,170.00000,3314
0.85600,169.69999,3319
0.85600,169.80000,3324
0.85600,169.69999,3329
0.85600,163.80000,3334
0.82600,164.50000,3339
0.83000,166.69999,3345
0.84200,165.39999,3350
0.83600,165.19999,3355
0.83600,165.39999,3360
0.83600,165.50000,3365
0.83600,165.50000,3370
0.83200,163.09999,3375
0.82200,163.69999,3380
0.82600,164.50000,3386
0.83000,164.99998,3391
0.83200,163.09999,3396
0.82600,131.10000,3401
0.59600,116.90000,3406
0.61600,120.70000,3411
0.65800,129.60000,3415
0.71200,139.89999,3421
0.61000,117.30000,3426
0.60000,105.90000,3431
0.54400,100.90000,3436
0.51800,100.20000,3441
0.51400,100.30000,3446
0.51400,100.10000,3451
0.51200,99.80000,3456
0.51400,100.20000,3461
0.51400,100.30000,3466
0.51400,100.20000,3472
0.51200,100.50000,3477
0.51400,100.20000,3482
0.51400,100.10000,3487
0.51400,100.30000,3492
0.51400,100.30000,3497
0.51400,100.00000,3502
0.51200,100.10000,3507
0.51400,100.20000,3513
0.51400,100.20000,3518
0.51200,99.90000,3523
0.51200,100.30000,3528
0.51400,100.00000,3533
0.51200,99.80000,3538
0.51200,100.10000,3543
0.51400,100.20000,3548
0.51400,99.90000,3554
0.51200,100.20000,3559
0.51200,100.00000,3564
0.51200,100.10000,3569
0.51200,100.00000,3574
0.51400,100.30000,3579
0.51400,99.90000,3584
0.51200,99.90000,3589
0.51200,100.30000,3594
0.51400,100.10000,3600
0.51200,99.80000,3605
0.51200,99.90000,3610
0.51200,100.00000,3615
0.51200,100.10000,3620
0.51200,99.80000,3625
0.51200,100.10000,3630
0.51200,99.80000,3635
0.51200,99.90000,3641
0.51200,100.20000,3645
0.51200,100.20000,3651
0.51200,100.00000,3655
0.51200,100.30000,3660
0.51400,100.40000,3665
0.51200,100.10000,3670
0.51200,100.20000,3675
0.51200,100.20000,3680
0.51200,100.10000,3686
0.51200,100.20000,3691
0.51200,100.40000,3696
0.51400,100.10000,3701
0.51200,100.10000,3706
0.51200,100.20000,3711
0.51400,100.40000,3716
0.51200,100.10000,3721
0.51200,100.00000,3727
0.51400,100.40000,3732
0.51200,100.20000,3737
0.51200,100.30000,3742
0.51400,100.50000,3747
0.51400,100.20000,3752
0.51200,100.40000,3757
0.51400,100.30000,3762
0.51400,100.50000,3768
0.51200,100.10000,3773
0.51400,100.30000,3778
0.51400,100.30000,3783
0.51200,100.00000,3788
0.51200,100.20000,3793
0.51200,100.40000,3798
0.51400,100.10000,3803
0.51200,100.30000,3808
0.51400,100.30000,3814
0.51400,100.60000,3819
0.51200,100.00000,3824
0.51400,100.40000,3829
0.51200,100.30000,3834
0.51200,100.20000,3839
0.51200,100.40000,3844
0.51400,100.40000,3849
0.51400,100.20000,3855
0.51200,100.50000,3860
0.51400,100.40000,3865
0.51400,100.40000,3870
0.51200,100.10000,3875
0.51400,100.30000,3880
0.51200,100.30000,3885
0.51200,100.20000,3890
0.51200,100.60000,3896
0.51400,100.30000,3901
0.51200,100.10000,3906
0.51200,100.20000,3911
0.51200,100.20000,3916
0.51200,100.20000,3921
0.51200,100.10000,3926
0.51200,100.20000,3931
0.51400,100.50000,3936
0.53400,102.10000,3942
0.52200,116.70000,3947
0.59400,114.90000,3952
0.58600,114.20000,3957
0.58400,114.09999,3962
0.58000,113.90000,3967
0.57600,113.20000,3972
0.57600,113.20000,3977
0.57400,112.70000,3983
0.57400,112.20000,3988
0.58400,91.80000,3993
0.47200,91.10000,3998
0.46600,91.20000,4003
0.46800,91.10000,4008
0.46600,90.80000,4012
0.46600,120.70000,4017
0.51200,99.80000,4022
0.54000,105.50000,4028
0.52200,101.80000,4033
0.51800,101.30001,4038
0.52200,100.30000,4043
0.51200,94.80000,4048
0.48400,90.70000,4053
0.46600,100.10000,4058
0.51200,100.40000,4063
0.51400,94.90000,4069
0.48400,94.00000,4074
0.48400,94.80000,4079
0.48200,94.10000,4084
0.48400,94.40000,4089
0.55800,109.20000,4094
0.52400,115.40000,4099
0.58600,116.30000,4104
0.59400,116.00000,4110
0.59000,116.40000,4115
0.59400,116.60000,4120
0.59400,122.00000,4125
0.63600,124.80000,4130
0.63800,125.90000,4135
0.63800,125.60000,4140
0.64200,126.19999,4145
0.63800,122.50000,4150
0.62600,106.00000,4156
0.54000,123.80000,4161
0.63000,122.50000,4166
0.62200,121.70000,4171
0.62000,116.80000,4176
0.57400,112.20000,4181
0.52200,101.90000,4186
0.53400,104.20000,4191
0.53400,104.10000,4197
0.52200,103.30000,4202
0.52800,102.80000,4207
0.52400,102.10000,4212
0.52200,101.80000,4217
0.51800,102.70000,4222
0.52400,103.09999,4227
0.52200,102.10000,4232
0.52400,102.40000,4238
0.54800,107.30000,4243
0.53000,104.00000,4248
0.53800,106.90000,4253
0.54800,115.00000,4258
0.58600,117.10000,4263
0.59600,116.00000,4268
0.59400,118.00000,4273
0.60000,103.40000,4278
0.52400,102.70000,4284
0.56400,110.90000,4289
0.52200,101.90000,4294
0.56000,109.60000,4299
0.52400,102.30000,4304
0.52400,121.00000,4309
0.61600,103.90000,4313
0.53000,104.70000,4318
0.53400,103.20000,4324
0.52800,102.60000,4329
0.58600,115.20000,4334
0.53400,104.10000,4339
0.53000,103.50000,4344
0.61000,119.80000,4349
0.64600,127.19999,4354
0.64600,127.80001,4359
0.64800,107.10000,4365
0.54800,115.70000,4370
0.59000,117.80000,4375
0.60200,113.60000,4380
0.56000,109.50000,4385
0.61000,119.20000,4390
0.57000,111.80001,4395
0.56000,117.40000,4400
0.60000,104.50000,4405
0.53400,127.60000,4411
0.64800,109.20000,4416
0.55800,102.60000,4421
0.52400,142.09999,4426
0.72000,128.30000,4431
0.64600,126.40000,4436
0.63800,125.70000,4441
0.65600,128.19999,4446
0.58400,127.70001,4452
0.64800,128.60000,4457
0.65600,119.00000,4462
0.61000,125.60000,4467
0.63800,104.00000,4472
0.53000,123.70000,4477
0.62200,149.09999,4482
0.72800,143.09999,4487
0.56000,109.70000,4493
0.59600,117.30000,4498
0.53400,117.40000,4503
0.59600,123.10000,4508
0.62600,123.30000,4513
0.63000,121.80000,4518
0.62000,122.60000,4523
0.62600,123.30000,4528
0.63000,123.30000,4533
0.61600,120.90000,4539
0.63000,123.40000,4544
0.63000,123.30000,4549
0.62200,122.20000,4554
0.62200,123.40000,4559
0.63000,123.80000,4564
0.63000,121.20000,4569
0.61600,123.50000,4574
0.63000,123.30000,4580
